amfi_code,fund_name,fund_house,category,plan,option,launch_date,expense_ratio
101001,Axis Bluechip Fund,Axis,Large Cap,Direct,Growth,2014-01-15,0.62
101002,HDFC Top 100 Fund,HDFC,Large Cap,Direct,Growth,2013-05-10,0.7
101003,ICICI Bluechip Fund,ICICI,Large Cap,Direct,Growth,2012-07-20,0.78
101004,Kotak Bluechip Fund,Kotak,Large Cap,Direct,Growth,2015-09-11,0.69
101005,Nippon Large Cap Fund,Nippon,Large Cap,Direct,Growth,2011-11-18,0.72
101006,SBI Bluechip Fund,SBI,Large Cap,Direct,Growth,2010-08-25,0.75
101007,Parag Parikh Flexi Cap,PPFAS,Flexi Cap,Direct,Growth,2013-05-24,0.81
101008,Mirae Asset Large Cap,Mirae,Large Cap,Direct,Growth,2012-12-12,0.59
101009,UTI Nifty Index Fund,UTI,Index,Direct,Growth,2014-06-15,0.2
101010,DSP Midcap Fund,DSP,Mid Cap,Direct,Growth,2016-03-30,0.85
